lake,sampling_timestamp,sample_timestamp,site_name,station_name,depth,value_sign,unit_symbol,method,laboratory,sampling_number,sample_number,rdl,sample_location,sample_type,aluminum_dissolved,aluminum_total_recoverable,calcium_dissolved,calcium_total,copper_dissolved,copper_total_recoverable,lead_dissolved,lead_total_recoverable,nickel_dissolved,nickel_total_recoverable,nitrogen_dissolved,oxygen_biochemical_demand,oxygen_dissolved_percent_saturation,ph,phosphorus_total,phosphorus_total_dissolved,turbidity,vanadium_dissolved,vanadium_total_recoverable
kearl,2020-09-18 10:40:00,2020-09-18 09:40:00,KEARL LAKE,KEARL LAKE,0.1,'---,µg/l,1847,AITF-EAS (ENVIRONMENTAL ANALYTICAL SERVICES),20SWE11038,20SWE11039,0.4,Centre,DISCRETE SAMPLE (GRAB),,3.7,,,,,,,,,,,,,,,,,
kearl,2021-08-18 15:15:00,2021-08-18 14:15:00,KEARL LAKE,KEARL LAKE,0.1,'---,µg/l,1847,AITF-EAS (ENVIRONMENTAL ANALYTICAL SERVICES),21SWE04621,21SWE04621-01,0.4,Centre,DISCRETE SAMPLE (GRAB),,10.9,,,,,,,,,,,,,,,,,
kearl,2022-09-16 07:20:00,2022-09-16 06:20:00,KEARL LAKE,KEARL LAKE,0.1,'---,µg/l,1847,AITF-EAS (ENVIRONMENTAL ANALYTICAL SERVICES),22SWE04634,22SWE04634-01,0.4,Centre,DISCRETE SAMPLE (GRAB),,27.2,,,,,,,,,,,,,,,,,
kearl,2000-09-27 12:00:00,2000-09-27 11:00:00,KEARL LAKE,KEARL LAKE,,'---,mg/l,482,UNIVERSITY OF ALBERTA - BIOGEOCHEMICAL ANALYTICAL SERVICE LABORATORY,00SWE04029,00SWE04029,0.003,Centre,EUPHOTIC COMPOSITE,,,20.3,,,,,,,,,,,,,,,,
kearl,2001-09-13 12:00:00,2001-09-13 11:00:00,KEARL LAKE,KEARL LAKE,,'---,mg/l,482,UNIVERSITY OF ALBERTA - BIOGEOCHEMICAL ANALYTICAL SERVICE LABORATORY,01SWE03883,01SWE03883,0.003,Centre,VERTICAL INTEGRATED,,,19.6,,,,,,,,,,,,,,,,
kearl,2002-09-04 12:00:00,2002-09-04 11:00:00,KEARL LAKE,KEARL LAKE,,'---,mg/l,482,UNIVERSITY OF ALBERTA - BIOGEOCHEMICAL ANALYTICAL SERVICE LABORATORY,02SWE03131,02SWE03131,0.003,Centre,DISCRETE SAMPLE (GRAB),,,20.6,,,,,,,,,,,,,,,,
kearl,2003-03-24 12:00:00,2003-03-24 12:00:00,KEARL LAKE,KEARL LAKE,,'---,mg/l,1849,Alberta Research Council,104242,,0.1,'---,,,,37.8,,,,,,,,,,,,,,,,
kearl,2003-03-24 12:00:00,2003-03-24 12:00:00,KEARL LAKE,KEARL LAKE,,'---,mg/l,2577,ETL,104242,,0.5,'---,,,,41.9,,,,,,,,,,,,,,,,
kearl,2003-08-31 12:00:00,2003-08-31 11:00:00,KEARL LAKE,KEARL LAKE,,'---,mg/l,482,UNIVERSITY OF ALBERTA - BIOGEOCHEMICAL ANALYTICAL SERVICE LABORATORY,03SWE02484,03SWE02484,0.003,Centre,DISCRETE SAMPLE (GRAB),,,16.9,,,,,,,,,,,,,,,,
kearl,2004-06-17 14:30:00,2004-06-17 13:30:00,KEARL LAKE,KEARL LAKE,,'---,mg/l,482,UNIVERSITY OF ALBERTA - BIOGEOCHEMICAL ANALYTICAL SERVICE LABORATORY,04SWE01029,04SWE01030,0.003,Centre,DISCRETE SAMPLE (GRAB),,,15.1,,,,,,,,,,,,,,,,
