lake,sampling_timestamp,sample_timestamp,measurement_value,measurement_value_raw,site_name,station_name,depth,value_sign,unit_symbol,method,laboratory,sampling_number,sample_number,rdl,sample_location,sample_type,aluminum_dissolved,aluminum_total_recoverable,calcium_dissolved,calcium_total,copper_dissolved,copper_total_recoverable,lead_dissolved,lead_total_recoverable,nickel_dissolved,nickel_total_recoverable,nitrogen_total,oxygen_biochemical_demand,ph,phosphorus_total_dissolved,phosphorus_total,turbidity,vanadium_dissolved,vanadium_total_recoverable
gregoire,2016-03-10 12:00:00,2016-03-10 12:00:00,0.046,0.046,GREGOIRE RIVER,(LOWER) APPROX 2KM UPSTREAM CONFLUENCE WITH CHRIST,,'---,µg/l,1849,AITF-EAS (ENVIRONMENTAL ANALYTICAL SERVICES),112660,,4E-06,'---,,,,,,,,0.046,,,,,,,,,,,
gregoire,2016-07-20 12:00:00,2016-07-20 11:00:00,0.092,0.092,GREGOIRE RIVER,(LOWER) APPROX 2KM UPSTREAM CONFLUENCE WITH CHRIST,,'---,µg/l,1849,AITF-EAS (ENVIRONMENTAL ANALYTICAL SERVICES),112405,,4E-06,'---,,,,,,,,0.092,,,,,,,,,,,
gregoire,2016-09-21 12:00:00,2016-09-21 11:00:00,0.102,0.102,GREGOIRE RIVER,(LOWER) APPROX 2KM UPSTREAM CONFLUENCE WITH CHRIST,,'---,µg/l,1849,AITF-EAS (ENVIRONMENTAL ANALYTICAL SERVICES),112207,,4E-06,'---,,,,,,,,0.102,,,,,,,,,,,
gregoire,2017-03-15 12:00:00,2017-03-15 11:00:00,0.025,0.025,GREGOIRE RIVER,(LOWER) APPROX 2KM UPSTREAM CONFLUENCE WITH CHRIST,,'---,µg/l,1849,AITF-EAS (ENVIRONMENTAL ANALYTICAL SERVICES),111901,,4E-06,'---,,,,,,,,0.025,,,,,,,,,,,
gregoire,2014-07-10 12:00:00,2014-07-10 11:00:00,0.475,0.475,GREGOIRE RIVER,(LOWER) APPROX 2KM UPSTREAM CONFLUENCE WITH CHRIST,,'---,µg/l,1847,AITF-EAS (ENVIRONMENTAL ANALYTICAL SERVICES),107356,,3E-06,'---,,,,,,,,,0.475,,,,,,,,,,
gregoire,2014-09-07 12:00:00,2014-09-07 11:00:00,1.17,1.17,GREGOIRE RIVER,(LOWER) APPROX 2KM UPSTREAM CONFLUENCE WITH CHRIST,,'---,µg/l,1847,AITF-EAS (ENVIRONMENTAL ANALYTICAL SERVICES),107362,,3E-06,'---,,,,,,,,,1.17,,,,,,,,,,
gregoire,2015-03-02 12:00:00,2015-03-02 12:00:00,0.094,0.094,GREGOIRE RIVER,(LOWER) APPROX 2KM UPSTREAM CONFLUENCE WITH CHRIST,,'---,µg/l,1847,AITF-EAS (ENVIRONMENTAL ANALYTICAL SERVICES),107359,,3E-06,'---,,,,,,,,,0.094,,,,,,,,,,
gregoire,2016-03-10 12:00:00,2016-03-10 12:00:00,0.1,0.1,GREGOIRE RIVER,(LOWER) APPROX 2KM UPSTREAM CONFLUENCE WITH CHRIST,,'---,µg/l,1847,AITF-EAS (ENVIRONMENTAL ANALYTICAL SERVICES),112660,,3E-06,'---,,,,,,,,,0.1,,,,,,,,,,
gregoire,2016-07-20 12:00:00,2016-07-20 11:00:00,0.332,0.332,GREGOIRE RIVER,(LOWER) APPROX 2KM UPSTREAM CONFLUENCE WITH CHRIST,,'---,µg/l,1847,AITF-EAS (ENVIRONMENTAL ANALYTICAL SERVICES),112405,,3E-06,'---,,,,,,,,,0.332,,,,,,,,,,
gregoire,2016-09-21 12:00:00,2016-09-21 11:00:00,0.538,0.538,GREGOIRE RIVER,(LOWER) APPROX 2KM UPSTREAM CONFLUENCE WITH CHRIST,,'---,µg/l,1847,AITF-EAS (ENVIRONMENTAL ANALYTICAL SERVICES),112207,,3E-06,'---,,,,,,,,,0.538,,,,,,,,,,
